,TOT_POP,PCT_U18,PC_18_65,PCT_O65,MALE_FEM
43,21279.0,5298.471,13490.886,2489.643,90.2
44,7193.0,1460.179,4862.468,870.353,96.2
45,13243.0,3403.451,8144.445,1695.104,96.0
46,2354.0,670.89,1464.188,218.922,100.5
47,1828.0,435.064,1199.168,193.768,102.2
48,1101.0,292.866,680.418,127.716,91.0
49,16438.0,3550.608,11046.336,1841.056,93.7
50,2572.0,586.416,1589.496,396.088,90.8
51,1006.0,245.464,588.51,172.026,93.1
52,1103.0,273.544,709.229,121.33,98.1
53,15761.0,3294.049,10370.738,2096.213,93.2
54,2658.0,699.054,1690.488,271.116,95.4
55,2248.0,676.648,1393.76,177.592,92.5
56,1729.0,418.418,1075.438,233.415,95.5
57,53008.0,10654.608,32228.864,10124.528,82.7
58,1349.0,379.069,832.333,137.598,94.4
59,2900.0,707.6,1769.0,423.4,89.4
60,4838.0,1045.008,3125.348,667.644,90.0
61,4230.0,1015.2,2728.35,486.45,93.8
62,9556.0,2264.772,6201.844,1089.384,93.0
63,1261.0,406.042,670.852,184.106,80.0
64,2220.0,521.7,1172.16,526.14,78.3
65,1271.0,326.647,734.638,208.444,83.7
66,2954.0,797.58,1837.388,319.032,90.0
67,1566.0,305.37,1049.22,211.41,94.1
68,2226.0,607.698,1375.668,242.634,98.2
69,7070.0,1371.58,4899.51,798.91,81.7
70,1997.0,479.28,1174.236,343.484,96.1
71,2107.0,642.635,1278.949,185.416,87.3
72,34455.0,6270.81,21396.555,6787.635,81.0
73,3265.0,826.045,2047.155,388.535,90.2
74,2756.0,744.12,1821.716,190.164,98.5
75,1397.0,350.647,786.511,259.842,82.1
76,8749.0,1356.095,6762.977,629.928,90.8
77,1387.0,435.518,754.528,198.341,84.9
78,6028.0,1314.104,3755.444,958.452,79.0
79,3118.0,770.146,1967.458,383.514,98.1
80,3716.0,405.044,3095.428,215.528,85.8
81,1138.0,315.226,675.972,146.802,93.6
82,1970.0,423.55,1237.16,309.29,91.7
83,1273.0,278.787,717.972,276.241,79.7
84,2465.0,909.585,1469.14,86.275,99.0
85,2262.0,579.072,1373.034,309.894,86.5
86,4759.0,861.379,2484.198,1408.664,85.8
87,1906.0,476.5,1048.3,381.2,80.6
88,2552.0,648.208,1498.024,405.768,88.0
89,1150.0,270.25,721.05,158.7,89.7
90,2278.0,583.168,1246.066,448.766,82.0
91,10725.0,2391.675,6477.9,1855.425,81.9
92,4673.0,1177.596,2757.07,738.334,84.1
93,2421.0,668.196,1375.128,375.255,85.2
94,6379.0,861.165,4790.629,727.206,99.8
95,5107.0,1077.577,3222.517,806.906,94.1
96,4800.0,1089.6,3254.4,456.0,95.2
97,4344.0,1329.264,2436.984,577.752,84.2
98,1078.0,321.244,614.46,143.374,88.8
99,1491.0,375.732,842.415,274.344,70.9
100,4690.0,1167.81,2645.16,877.03,79.1
101,1100.0,324.5,606.1,169.4,82.8
102,3457.0,480.523,2492.497,483.98,94.8
103,3007.0,520.211,2101.893,381.889,58.0
104,5716.0,1166.064,3526.772,1023.164,86.1
105,1232.0,273.504,741.664,215.6,88.2
106,26720.0,7348.0,17528.32,1843.68,95.3
107,5987.0,1532.672,3687.992,766.336,92.8
108,5333.0,1098.598,3594.442,634.627,97.0
109,26028.0,7678.26,16631.892,1717.848,93.9
110,1671.0,456.183,949.128,265.689,77.9
111,1929.0,501.54,1248.063,177.468,93.9
112,1273.0,306.793,767.619,198.588,89.0
113,1920.0,453.12,1136.64,328.32,91.1
114,3270.0,742.29,2207.25,320.46,96.2
115,4734.0,1420.2,2835.666,478.134,87.1
116,1731.0,455.253,1057.641,219.837,81.5
117,1376.0,400.416,832.48,141.728,82.9
118,1303.0,311.417,809.163,182.42,88.6
119,1110.0,217.56,668.22,224.22,92.7
120,2160.0,542.16,1239.84,378.0,82.1
121,2175.0,508.95,1231.05,435.0,81.2
122,2238.0,525.93,1342.8,369.27,85.3
123,1394.0,359.652,903.312,131.036,96.6
124,2409.0,648.021,1363.494,397.485,86.7
125,5268.0,795.468,3724.476,748.056,79.9
126,16825.0,3970.7,9741.675,3112.625,81.0
127,1998.0,391.608,1202.796,405.594,79.8
128,4789.0,1072.736,3088.905,627.359,91.5
129,8019.0,1884.465,5068.008,1066.527,89.4
130,36124.0,8127.9,24925.56,3070.54,95.2
131,8003.0,2048.768,5338.001,616.231,93.3
132,1140.0,308.94,721.62,109.44,98.8
133,2180.0,412.02,1185.92,582.06,72.0
134,30111.0,8160.081,19451.706,2499.213,91.6
135,2760.0,742.44,1540.08,477.48,86.3
136,3093.0,739.227,1858.893,494.88,86.5
137,1270.0,360.68,751.84,157.48,94.2
138,2287.0,656.369,1511.707,118.924,95.1
139,2789.0,683.305,1625.987,479.708,83.5
140,7018.0,1543.96,4456.43,1017.61,88.4
141,3200.0,857.6,2080.0,262.4,96.7
142,1690.0,457.99,927.81,304.2,75.2
143,1698.0,395.634,1115.586,186.78,96.8
144,2627.0,546.416,1476.374,604.21,86.6
145,4005.0,356.445,3484.35,164.205,686.0
146,5002.0,1315.526,2896.158,790.316,85.3
147,1214.0,388.48,677.412,148.108,88.8
148,3064.0,398.32,2359.28,309.464,120.4
149,8360.0,2064.92,4823.72,1471.36,83.9
150,17673.0,3852.714,11381.412,2438.874,88.9
151,1936.0,565.312,1020.272,350.416,84.0
152,8244.0,1549.872,5647.14,1046.988,114.2
153,1030.0,329.6,576.8,122.57,80.4
154,25849.0,6539.797,17577.32,1731.883,95.4
155,9940.0,2375.66,5993.82,1570.52,83.9
156,2452.0,662.04,1311.82,475.688,81.6
157,1847.0,448.821,962.287,437.739,84.3
158,1908.0,528.516,1188.684,190.8,90.2
159,1588.0,430.348,919.452,238.2,86.3
160,6647.0,1595.28,3762.202,1289.518,80.4
161,18537.0,3503.493,11530.014,3503.493,83.4
162,4510.0,1032.79,3026.21,451.0,96.4
163,6518.0,1479.586,3767.404,1271.01,88.2
164,3784.0,949.784,2486.088,348.128,90.8
165,1402.0,173.848,803.346,423.404,86.3
166,2780.0,553.22,1715.26,514.3,84.5
167,2152.0,413.184,1558.048,180.768,99.0
168,19550.0,4418.3,12766.15,2365.55,89.4
169,4974.0,1263.396,2969.478,746.1,83.4
170,4021.0,1085.67,2400.537,538.814,92.0
171,20411.0,4878.229,13328.383,2204.388,93.1
172,2698.0,585.466,1767.19,345.344,92.5
173,20195.0,4806.41,12278.56,3110.03,87.7
174,4372.0,905.004,2561.992,905.004,90.7
175,6932.0,1538.904,4353.296,1039.8,84.2
176,10152.0,2202.984,6517.584,1431.432,89.0
177,5461.0,1600.073,3527.806,338.582,93.9
178,3343.0,748.832,2025.858,564.967,85.5
179,2515.0,573.42,1534.15,409.945,88.2
180,1499.0,292.305,1062.791,143.904,101.5
181,3088.0,818.32,1914.56,355.12,94.8
182,1219.0,316.94,756.999,145.061,93.6
183,4243.0,1264.414,2359.108,619.478,86.1
184,2354.0,508.464,1515.976,329.56,95.9
185,33724.0,8768.24,19897.16,5058.6,90.6
186,4359.0,1011.288,2497.707,850.005,80.5
187,3938.0,972.686,2473.064,492.25,92.8
188,10916.0,2412.436,7510.208,993.356,97.0
189,13531.0,2827.979,8321.565,2381.456,82.1
190,12602.0,2646.42,7825.842,2129.738,88.7
191,5943.0,1533.294,3732.204,671.559,90.9
192,4811.0,1116.152,3016.497,678.351,89.9
193,2653.0,586.313,1605.065,461.622,87.5
194,8022.0,1580.334,5358.696,1082.97,93.6
195,14842.0,4289.338,9602.774,949.888,95.4
196,4248.0,938.808,2697.48,611.712,83.6
197,4427.0,1155.447,2687.189,584.364,89.3
198,1957.0,279.851,1076.35,600.799,75.0
199,3231.0,927.297,1977.372,326.331,92.7
200,15947.0,3572.128,9839.299,2535.573,86.8
201,2497.0,666.699,1515.679,314.622,86.7
202,4490.0,1037.19,2765.84,686.97,91.4
203,1007.0,249.736,604.2,153.064,106.3
204,1125.0,317.25,758.25,49.5,98.5
205,11578.0,2767.142,8799.28,11.578,256.3
206,3561.0,1004.202,2129.478,427.32,86.9
207,1450.0,361.05,939.6,149.35,104.3
208,2416.0,640.24,1316.72,459.04,84.8
209,9176.0,2110.48,6258.032,807.488,96.5
210,2693.0,627.469,1540.396,525.135,85.4
211,1739.0,514.744,921.67,302.586,80.7
212,39894.0,9654.348,26090.676,4148.976,90.9
213,1817.0,472.42,1013.886,330.694,88.5
214,1423.0,461.052,752.767,209.181,93.2
215,2738.0,747.474,1593.516,397.01,84.6
216,7437.0,1509.711,4439.889,1487.4,88.0
217,4073.0,769.797,2525.26,782.016,88.2
218,4209.0,1010.16,2592.744,606.096,92.5
219,1336.0,339.344,753.504,241.816,85.1
220,14995.0,3193.935,9671.775,2129.29,86.5
221,1538.0,341.436,959.712,236.852,84.7
222,24149.0,4878.098,15238.019,4032.883,88.4
223,4488.0,897.6,2854.368,736.032,90.2
224,15023.0,3725.704,9013.8,2283.496,80.0
225,7978.0,1962.588,4746.91,1268.502,83.5
226,3407.0,705.249,2166.852,534.899,91.6
227,16656.0,4164.0,9194.112,3297.888,80.0
228,1589.0,373.415,1070.986,144.599,89.1
229,5255.0,1124.57,3421.005,709.425,103.2
230,4604.0,1358.18,2610.468,635.352,84.2
231,2901.0,713.646,1586.847,603.408,77.6
232,2646.0,685.314,1420.902,539.784,77.4
233,8745.0,1906.41,5316.96,1521.63,88.4
234,2790.0,694.71,1646.1,449.19,89.2
235,15632.0,3485.936,9676.208,2469.856,86.6
236,1812.0,491.052,1005.66,315.288,83.0
